name,tags,x,y,z,bas_demand
Junction-58976,,"353920.118107963120565","396998.006280045199674","16.310535000000002","0.209330"
Junction-26329,,"354742.846107350196689","397072.809279885143042","24.616667000000000","0.056621"
Junction-36030,,"353705.765108156832866","396209.269281381624751","31.856301999999999","0.394734"
Junction-27484,,"356129.447106231877115","399047.523276509658899","33.330109999999998","0.031301"
Junction-50827,,"354956.999107195762917","396909.488280148128979","23.367500000000000","0.085960"
Junction-14482,,"354604.682544906623662","398133.006028111965861","36.088000000000001","0.077731"
Junction-36292,,"355050.023107074084692","398189.349277995643206","33.899999999999999","0.058552"
Junction-14509,,"354722.962982299330179","398564.981714881607331","22.195000000000000","0.115521"
Junction-14478,,"354631.279107399575878","397778.628278703778051","20.539999000000002","0.000000"
Junction-455357,,"353062.823375001549721","396456.577312499284744","19.606297999999999","0.537037"
Junction-55647,,"354972.949107120104600","398414.235277620609850","33.800002999999997","0.172680"
Junction-468469,,"355581.556830112356693","397093.962259009480476","31.120000000000001","0.000000"
Junction-615,,"354724.315232300607022","398564.752027382026426","22.239999999999998","0.000000"
Junction-26350,,"354615.664232390001416","398352.343715245486237","31.737500000000001","0.000000"
Junction-15874,,"356265.378981146903243","398818.971839390520472","39.420000000000002","0.000000"
Junction-456045,,"355890.843437500239816","398181.641874998807907","60.650260000000003","0.000000"
Junction-854,,"355240.472107001696713","396660.237280554603785","26.480000000000000","0.000000"
Junction-36361,,"355140.262669501360506","398247.457652899320237","32.012500000000003","0.000000"
Junction-26538,,"355236.862107004621066","396665.624280546326190","26.380001000000000","0.000000"
Junction-35857,,"352530.093109011766501","396608.980280757299624","15.600944000000000","0.179977"
Junction-27244,,"356074.076043819950428","398092.293090615188703","77.906670000000005","0.000000"
Junction-56013,,"356220.421106219640933","397779.959278629277833","79.075000000000003","0.029687"
Junction-50864,,"355088.569107099785469","396877.395280195400119","22.762499999999999","0.037315"
Junction-50792,,"354880.690107249305584","396969.936280051595531","22.775002000000001","0.043328"
Junction-1180,,"355575.586106680217199","398323.989277747750748","43.732501999999997","0.034878"
Junction-2764,,"356444.956731041253079","398133.119090532651171","87.726659999999995","0.027852"
Junction-36183,,"354719.480107356328517","397228.642279624007642","22.233332000000001","0.036144"
Junction-468460,,"355269.480494250543416","397071.530192707839888","34.784999999999997","0.043056"
Junction-14352,,"354305.843295119935647","398345.513340264209546","42.552500000000002","0.000000"
Junction-55650,,"355078.011107037833426","398499.790839972207323","28.400321999999999","0.000000"
Junction-456050,,"355609.376294635410886","397154.298024553223513","35.870002999999997","0.000000"
Junction-52329,,"357841.739105086366180","396297.729281051084399","52.530000000000001","0.147166"
Junction-14215,,"353906.960108005092479","396270.148281267785933","31.451029999999999","0.184612"
Junction-477168,,"355672.176624998508487","396745.038125000894070","25.480000000000000","0.282176"
Junction-36275,,"354980.706107187201269","396756.050280405150261","26.336668000000000","0.050006"
